ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
631164952967257,130391693652056,"DIE LINKE Hamburg",2025-02-23,2025-02-23,2025-02-24,"DIE LINKE Hamburg","Sagt Hallo zu Heidi und unserer nigelnagelneuen Bundestagsfraktion, die ihre erste Klassenfahrt nach Hamburg macht. Und lasst uns das phantastische Bundestagswahl-Ergebnis der Linken am 2. März in Hamburg einfach verdoppeln 💥💥

#hamburgWählt #dieLinkeHamburg #hamburg #bürgerschaftwahl #bürgerschaftswahl2025 #dieLinke @heidireichinnek in #hamburg #hamburgWähltLinks",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 0, upper_bound: 99",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.211929},{""age"":""45-54"",""gender"":""female"",""percentage"":0.029476},{""age"":""65+"",""gender"":""male"",""percentage"":0.01194},{""age"":""65+"",""gender"":""female"",""percentage"":0.009864},{""age"":""55-64"",""gender"":""male"",""percentage"":0.020766},{""age"":""55-64"",""gender"":""female"",""percentage"":0.020362},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000173},{""age"":""45-54"",""gender"":""male"",""percentage"":0.029765},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000115},{""age"":""18-24"",""gender"":""male"",""percentage"":0.205699},{""age"":""35-44"",""gender"":""male"",""percentage"":0.061202},{""age"":""35-44"",""gender"":""female"",""percentage"":0.054165},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000865},{""age"":""25-34"",""gender"":""male"",""percentage"":0.182164},{""age"":""25-34"",""gender"":""female"",""percentage"":0.159149},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00225},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000115}","{""region"":""Hamburg"",""percentage"":1}",instagram,"lower_bound: 1000001",de
1131357741639078,130391693652056,"DIE LINKE Hamburg",2025-02-23,2025-02-23,2025-02-24,"DIE LINKE Hamburg","Sagt Hallo zu Heidi und unserer nigelnagelneuen Bundestagsfraktion, die ihre erste Klassenfahrt nach Hamburg macht. Und lasst uns das phantastische Bundestagswahl-Ergebnis der Linken am 2. März in Hamburg einfach verdoppeln 💥💥

#hamburgWählt #dieLinkeHamburg #hamburg #bürgerschaftwahl #bürgerschaftswahl2025 #dieLinke @heidireichinnek in #hamburg #hamburgWähltLinks",,,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 0, upper_bound: 99",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.256627},{""age"":""45-54"",""gender"":""female"",""percentage"":0.036075},{""age"":""65+"",""gender"":""female"",""percentage"":0.010385},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000273},{""age"":""55-64"",""gender"":""male"",""percentage"":0.018038},{""age"":""55-64"",""gender"":""female"",""percentage"":0.020224},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00082},{""age"":""45-54"",""gender"":""male"",""percentage"":0.024324},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003553},{""age"":""18-24"",""gender"":""male"",""percentage"":0.117245},{""age"":""35-44"",""gender"":""male"",""percentage"":0.062039},{""age"":""35-44"",""gender"":""female"",""percentage"":0.079257},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.008746},{""age"":""25-34"",""gender"":""male"",""percentage"":0.108773},{""age"":""25-34"",""gender"":""female"",""percentage"":0.232304},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.012025},{""age"":""65+"",""gender"":""male"",""percentage"":0.009292}","{""region"":""Hamburg"",""percentage"":1}",instagram,"lower_bound: 1000001",de
1149204206408096,47694585682,"Die Linke",2025-02-23,2025-02-23,2025-02-24,"DIE LINKE",,"Mit Support chatten,Mit Support chatten,Mit Support chatten","api.whatsapp.com,api.whatsapp.com,api.whatsapp.com",,"lower_bound: 150000, upper_bound: 174999","lower_bound: 400, upper_bound: 499",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.165685},{""age"":""45-54"",""gender"":""male"",""percentage"":0.024084},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001869},{""age"":""65+"",""gender"":""male"",""percentage"":0.0054},{""age"":""65+"",""gender"":""female"",""percentage"":0.008987},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005188},{""age"":""55-64"",""gender"":""male"",""percentage"":0.012555},{""age"":""55-64"",""gender"":""female"",""percentage"":0.021681},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.010261},{""age"":""45-54"",""gender"":""female"",""percentage"":0.042215},{""age"":""18-24"",""gender"":""male"",""percentage"":0.108598},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.019041},{""age"":""35-44"",""gender"":""male"",""percentage"":0.058568},{""age"":""35-44"",""gender"":""female"",""percentage"":0.085746},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.034205},{""age"":""25-34"",""gender"":""male"",""percentage"":0.153895},{""age"":""25-34"",""gender"":""female"",""percentage"":0.211576},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.030437},{""age"":""Unknown"",""gender"":""unknown"",""percentage"":1.2e-5}","{""region"":""Baden-W\u00fcrttemberg"",""percentage"":0.088847},{""region"":""Bayern"",""percentage"":0.092025},{""region"":""Berlin"",""percentage"":0.182919},{""region"":""Brandenburg"",""percentage"":0.003037},{""region"":""Bremen"",""percentage"":0.013243},{""region"":""Hamburg"",""percentage"":0.101271},{""region"":""Hessen"",""percentage"":0.046306},{""region"":""Mecklenburg-Vorpommern"",""percentage"":0.007022},{""region"":""Niedersachsen"",""percentage"":0.055705},{""region"":""Nordrhein-Westfalen"",""percentage"":0.288138},{""region"":""Rheinland-Pfalz"",""percentage"":0.043843},{""region"":""Sachsen"",""percentage"":0.036155},{""region"":""Saxony-Anhalt"",""percentage"":0.01199},{""region"":""Schleswig-Holstein"",""percentage"":0.015278},{""region"":""Th\u00fcringen"",""percentage"":0.014221}",instagram,"lower_bound: 1000001",de
659703570065893,47694585682,"Die Linke",2025-02-22,2025-02-22,2025-02-24,"DIE LINKE",,,"die-linke.de,die-linke.de,die-linke.de",,"lower_bound: 200000, upper_bound: 249999","lower_bound: 500, upper_bound: 599",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.140937},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009726},{""age"":""Unknown"",""gender"":""male"",""percentage"":9.0e-6},{""age"":""Unknown"",""gender"":""female"",""percentage"":4.0e-6},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001952},{""age"":""65+"",""gender"":""male"",""percentage"":0.007527},{""age"":""65+"",""gender"":""female"",""percentage"":0.009041},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005588},{""age"":""55-64"",""gender"":""male"",""percentage"":0.01809},{""age"":""55-64"",""gender"":""female"",""percentage"":0.023453},{""age"":""45-54"",""gender"":""male"",""percentage"":0.034488},{""age"":""18-24"",""gender"":""male"",""percentage"":0.116225},{""age"":""45-54"",""gender"":""female"",""percentage"":0.042372},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.017367},{""age"":""35-44"",""gender"":""male"",""percentage"":0.073547},{""age"":""35-44"",""gender"":""female"",""percentage"":0.081219},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.031622},{""age"":""25-34"",""gender"":""male"",""percentage"":0.175535},{""age"":""25-34"",""gender"":""female"",""percentage"":0.182386},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.028904},{""age"":""Unknown"",""gender"":""unknown"",""percentage"":9.0e-6}","{""region"":""Baden-W\u00fcrttemberg"",""percentage"":0.102527},{""region"":""Bayern"",""percentage"":0.094282},{""region"":""Berlin"",""percentage"":0.098478},{""region"":""Brandenburg"",""percentage"":0.003404},{""region"":""Bremen"",""percentage"":0.012926},{""region"":""Hamburg"",""percentage"":0.125836},{""region"":""Hessen"",""percentage"":0.049673},{""region"":""Mecklenburg-Vorpommern"",""percentage"":0.008576},{""region"":""Niedersachsen"",""percentage"":0.056537},{""region"":""Nordrhein-Westfalen"",""percentage"":0.328273},{""region"":""Rheinland-Pfalz"",""percentage"":0.056029},{""region"":""Sachsen"",""percentage"":0.027358},{""region"":""Saxony-Anhalt"",""percentage"":0.012922},{""region"":""Schleswig-Holstein"",""percentage"":0.017509},{""region"":""Th\u00fcringen"",""percentage"":0.005671}",instagram,"lower_bound: 1000001",de
2063333897441173,421317704568819,"DIE LINKE. Offenbach am Main",2025-02-22,2025-02-22,2025-02-24,"DIE LINKE. Offenbach Stadt","✖️✖️Alle reden von ""taktisch wählen"". Aber was heißt das für Offenbach?

❤️‍🔥In Offenbach heißt ""taktisch wählen"" : Erststimme an @[17841405832364001:6057:@magdalena_depta_wollenhaupt], Zweitstimme an @[17841401471808402:6057:@dielinke].

Die anderen Parteien wollen alle mit Merz regieren.
Wir wollen die linken Inhalte stärken.

✨Grafik: @wann_strahlst_du
📸 Foto: @david.zehner 

#Offenbach #OffenbachAmMain #OffenbachAmMeer

#WochenmarktOffenbach #HafenOffenbach #OffenbachNordend 
#MarktplatzOffenbach #WilhelmsplatzOffenbach

#LinkeOffenbach #DieLinke
#dielinkehörtzu #btw25 #bundestagswahl25 #Wahlkampf

#Gysi #CarenLay
#MagdalenaMachts #AktionSilberlocke
#SPDOffenbach #CDUOffenbach #GrueneOffenbach #FDPOffenbach
#AlWazir #Tarek4Offenbach #BjoernSimon",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.005929},{""age"":""18-24"",""gender"":""male"",""percentage"":0.011858},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000988},{""age"":""25-34"",""gender"":""female"",""percentage"":0.130435},{""age"":""25-34"",""gender"":""male"",""percentage"":0.195652},{""age"":""35-44"",""gender"":""female"",""percentage"":0.12747},{""age"":""35-44"",""gender"":""male"",""percentage"":0.153162},{""age"":""45-54"",""gender"":""female"",""percentage"":0.08004},{""age"":""45-54"",""gender"":""male"",""percentage"":0.072134},{""age"":""55-64"",""gender"":""female"",""percentage"":0.064229},{""age"":""55-64"",""gender"":""male"",""percentage"":0.064229},{""age"":""65+"",""gender"":""female"",""percentage"":0.049407},{""age"":""65+"",""gender"":""male"",""percentage"":0.044466}","{""region"":""Bayern"",""percentage"":0.012795},{""region"":""Hessen"",""percentage"":0.987205}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",
2742092859513755,191469214264090,"Die Linke Saalfeld-Rudolstadt",2025-02-22,2025-02-22,2025-02-23,"DIE LINKE Saalfeld-Rudolstadt","Morgen gilt es: Mit beiden Stimmen Die Linke wählen – für eine starke Fraktion mit Heidi Reichinnek, @[100044251728323:2048:Bodo Ramelow] und natürlich Mandy Eißing!
Mandy unterstützt du übrigens auch über die Zweitstimme ganz direkt. Mit deiner Stimme könnte sie über Platz 3 der Landesliste in den Bundestag einziehen!",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.138614},{""age"":""45-54"",""gender"":""female"",""percentage"":0.045969},{""age"":""65+"",""gender"":""male"",""percentage"":0.056577},{""age"":""65+"",""gender"":""female"",""percentage"":0.049505},{""age"":""55-64"",""gender"":""male"",""percentage"":0.102546},{""age"":""55-64"",""gender"":""female"",""percentage"":0.074257},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000707},{""age"":""45-54"",""gender"":""male"",""percentage"":0.105375},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002829},{""age"":""18-24"",""gender"":""male"",""percentage"":0.089816},{""age"":""35-44"",""gender"":""male"",""percentage"":0.098303},{""age"":""35-44"",""gender"":""female"",""percentage"":0.046676},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001414},{""age"":""25-34"",""gender"":""male"",""percentage"":0.109618},{""age"":""25-34"",""gender"":""female"",""percentage"":0.070721},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00495},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002122}","{""region"":""Bayern"",""percentage"":0.002105},{""region"":""Th\u00fcringen"",""percentage"":0.997895}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",
877147171108526,47694585682,"Die Linke",2025-02-22,2025-02-22,2025-02-24,"DIE LINKE","Leonie ist Krankenschwester in der Notaufnahme. Sie spricht über Unterbesetzung, Stress, schlechte Bezahlung und den Profitdruck, der im Gesundheitssystem vorherrscht. Die Linke steht an der Seite der Menschen, die sich im Gesundheitsbereich für bessere Arbeitsbedingungen, Personalbemessung und angemessene Bezahlung einsetzen.

❗️Gesundheit darf keine Ware sein, Gesundheit ist ein Menschenrecht! Deshalb am 23.2. beide Stimmen für Die Linke!",,,,"lower_bound: 150000, upper_bound: 174999","lower_bound: 800, upper_bound: 899",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.240552},{""age"":""45-54"",""gender"":""male"",""percentage"":0.009646},{""age"":""65+"",""gender"":""male"",""percentage"":0.002984},{""age"":""65+"",""gender"":""female"",""percentage"":0.013285},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000165},{""age"":""55-64"",""gender"":""male"",""percentage"":0.00569},{""age"":""55-64"",""gender"":""female"",""percentage"":0.039795},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000457},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061026},{""age"":""18-24"",""gender"":""male"",""percentage"":0.036077},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001363},{""age"":""35-44"",""gender"":""male"",""percentage"":0.021853},{""age"":""35-44"",""gender"":""female"",""percentage"":0.141901},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002779},{""age"":""25-34"",""gender"":""male"",""percentage"":0.052392},{""age"":""25-34"",""gender"":""female"",""percentage"":0.36584},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.004016},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000179}","{""region"":""Baden-W\u00fcrttemberg"",""percentage"":0.09842},{""region"":""Bayern"",""percentage"":0.094962},{""region"":""Berlin"",""percentage"":0.157968},{""region"":""Brandenburg"",""percentage"":0.007269},{""region"":""Bremen"",""percentage"":0.016613},{""region"":""Hamburg"",""percentage"":0.095274},{""region"":""Hessen"",""percentage"":0.03961},{""region"":""Mecklenburg-Vorpommern"",""percentage"":0.010275},{""region"":""Niedersachsen"",""percentage"":0.084853},{""region"":""Nordrhein-Westfalen"",""percentage"":0.258276},{""region"":""Rheinland-Pfalz"",""percentage"":0.031769},{""region"":""Sachsen"",""percentage"":0.044844},{""region"":""Saxony-Anhalt"",""percentage"":0.02043},{""region"":""Schleswig-Holstein"",""percentage"":0.024899},{""region"":""Th\u00fcringen"",""percentage"":0.014538}",instagram,"lower_bound: 1000001",de
1335305184559972,47694585682,"Die Linke",2025-02-22,2025-02-22,2025-02-24,"DIE LINKE","Wie ist der Erfolg der Linken zu erklären? @jan.aken macht im ZDF-Morgenmagazin deutlich: Wir zeigen Haltung und machen Politik für euch, statt für die da oben 💪

Wir geben jetzt nochmal alles, um möglichst stark in den Bundestag einzuziehen. Damit wir für euch im Bundestag eine laute Stimme für soziale Politik und gegen den Rechtsruck sein können! 📣",,,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 700, upper_bound: 799",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.097503},{""age"":""45-54"",""gender"":""male"",""percentage"":0.049147},{""age"":""65+"",""gender"":""male"",""percentage"":0.01714},{""age"":""65+"",""gender"":""female"",""percentage"":0.0102},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000324},{""age"":""55-64"",""gender"":""male"",""percentage"":0.032428},{""age"":""55-64"",""gender"":""female"",""percentage"":0.017961},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000723},{""age"":""45-54"",""gender"":""female"",""percentage"":0.026406},{""age"":""18-24"",""gender"":""male"",""percentage"":0.154486},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001784},{""age"":""35-44"",""gender"":""male"",""percentage"":0.115592},{""age"":""35-44"",""gender"":""female"",""percentage"":0.056305},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003184},{""age"":""25-34"",""gender"":""male"",""percentage"":0.274895},{""age"":""25-34"",""gender"":""female"",""percentage"":0.137504},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.004118},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000301}","{""region"":""Baden-W\u00fcrttemberg"",""percentage"":0.094936},{""region"":""Bayern"",""percentage"":0.097481},{""region"":""Berlin"",""percentage"":0.169704},{""region"":""Brandenburg"",""percentage"":0.00704},{""region"":""Bremen"",""percentage"":0.016217},{""region"":""Hamburg"",""percentage"":0.100676},{""region"":""Hessen"",""percentage"":0.039012},{""region"":""Mecklenburg-Vorpommern"",""percentage"":0.0096},{""region"":""Niedersachsen"",""percentage"":0.08128},{""region"":""Nordrhein-Westfalen"",""percentage"":0.252933},{""region"":""Rheinland-Pfalz"",""percentage"":0.031104},{""region"":""Sachsen"",""percentage"":0.044103},{""region"":""Saxony-Anhalt"",""percentage"":0.019978},{""region"":""Schleswig-Holstein"",""percentage"":0.022531},{""region"":""Th\u00fcringen"",""percentage"":0.013407}",instagram,"lower_bound: 1000001",de
1588167538507890,140505636004543,"Die Linke Wandsbek",2025-02-22,2025-02-22,2025-03-01,"Die Linke Wandsbek","✨ Unsere Kandidierenden für die Bürgerschaft stellen sich vor! 🚩

Ich bin Martin Wolter,
wohne in Wandsbek und setze mich für eine Politik ein, die zu mehr Entlastung in unserem Alltag führt. Mein Ziel ist es insbesondere, den Mut, die Hoffnung sowie den Zusammenhalt und die Teilhabe der Menschen in Hamburg zu stärken. Miteinander statt Vereinzelung! Mit Humor und Herzlichkeit, für Gerechtigkeit, Selbstbestimmung und Solidarität. Gerade in den Kämpfen gegen rechts müssen dafür die Perspektiven Betroffener ernst genommen und einbezogen werden.

Kapitalismus zerstört menschliche Beziehungen, unsere Lebensgrundlagen und hat keine Zukunft. Ich stelle in den Vordergrund, was das Kapital verdrängt, über alle Grenzen hinweg. Und kämpfe für eine Steigerung unserer Lebensqualität, auch ökologisch gerecht. Wir können es uns nicht mehr leisten, beim Klima neutral zu bleiben - Wir müssen klimaneutral werden!

Beruflich bin ich in der sozialen Arbeit tätig. Dort komme ich fortlaufend mit den verheerenden Auswirkungen des Sozialabbaus in Berührung. So kann es nicht weitergehen. Meine Vision dagegen lautet soziale Sicherheit und Gerechtigkeit. Armut bekämpfen statt Arme bekämpfen! Für eine gerechte Verteilung des gesellschaftlichen Wohlstands! Pflegekräfte, Kindergärtner*innen und Sozialarbeiter*innen halten unsere Gesellschaft am Laufen. Sie müssen endlich die Anerkennung bekommen, die sie verdienen – in der Gesellschaft und auch auf dem Lohnzettel. Geld ist genug da, zum Beispiel in Blankenese, es muss nur gerecht verteilt werden.

#deshalbdielinke #dielinke #wandsbek","Die Linke Wandsbek (@dielinke.wandsbek) • Instagram photos and videos",instagram.com,"792 Followers, 245 Following, 184 Posts - See Instagram photos and videos from Die Linke Wandsbek (@dielinke.wandsbek)","lower_bound: 6000, upper_bound: 6999","lower_bound: 0, upper_bound: 99",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.149275},{""age"":""18-24"",""gender"":""male"",""percentage"":0.071652},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.003981},{""age"":""25-34"",""gender"":""female"",""percentage"":0.300825},{""age"":""25-34"",""gender"":""male"",""percentage"":0.180552},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004265},{""age"":""35-44"",""gender"":""female"",""percentage"":0.129087},{""age"":""35-44"",""gender"":""male"",""percentage"":0.0617},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001137},{""age"":""45-54"",""gender"":""female"",""percentage"":0.042934},{""age"":""45-54"",""gender"":""male"",""percentage"":0.021894},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000569},{""age"":""55-64"",""gender"":""female"",""percentage"":0.013932},{""age"":""55-64"",""gender"":""male"",""percentage"":0.00654},{""age"":""65+"",""gender"":""female"",""percentage"":0.007108},{""age"":""65+"",""gender"":""male"",""percentage"":0.004549}","{""region"":""Hamburg"",""percentage"":1}",instagram,"lower_bound: 10001, upper_bound: 50000",de
677519388044654,140505636004543,"Die Linke Wandsbek",2025-02-22,2025-02-22,2025-03-01,"Die Linke Wandsbek","✨ Unsere Kandidierenden für die Bürgerschaft stellen sich vor! 🚩

Ich bin Nadine Tjarks,
43 Jahre alt, lebe mit meiner 8-jährigen Tochter in Bramfeld.

Als Sozialpädagogin kann ich auf Erfahrung in der Arbeit mit Familien, Tagesmüttern und -vätern zurückgreifen. Vor dem Studium habe ich eine Ausbildung in der Verwaltung gemacht, im Sozialamt gearbeitet und mein Abitur nachgeholt.

Mein Herz schlägt für alle sozialen Themen: Wir haben in den letzten Monaten die Sozialberatung „Die Linke hilft“ in Bramfeld und Wandsbek aufgebaut - Eine tolle Möglichkeit, schnell und unkompliziert Menschen zu unterstützen!

Seit Juni bin ich Mitglied der Bezirksversammlung Wandsbek und dort Co-Vorsitzende unserer Partei. Ich arbeite unter anderem im Sozialausschuss mit, um bessere Bedingungen für die Menschen zu erreichen, die besonders abgehängt sind: z.B. Kinder, Jugendliche und Senior*innen.

Ich bin als freigestellte Personalrätin im Bezirksamt beschäftigt. Der Spar-Haushalt führt dazu, dass die Arbeit in vielen Abteilungen unschaffbar geworden ist, immer mehr Kolleg*innen werden krank. Gemeinsam mit der Gewerkschaft ver.di geben wir alles, um bessere Arbeitsbedingungen für die Kolleg*innen zu erreichen.

Von einem gut funktionierenden öffentlichen Dienst profitieren wir alle: zum Beispiel durch schnellere Geburtsurkunden und Wohngeld-Bescheide, mehr Sozialarbeiter*innen, saubere Spielplätze und gepflegte Grünanlagen.

Neben dem öffentlichen Dienst möchte ich mich in der Bürgerschaft für einen Mietendeckel einsetzten. Mit diesem müssen überzogene Mieten gesenkt werden, außerdem gäbe es die Sicherheit für viele Hamburger*innen, dass die Miete in den nächsten Jahren nicht steigt.

Ich freue mich darauf, euch kennenzulernen, ob an der Haustür, am Infostand oder in Social Media.

#deshalbdielinke #dielinke #wandsbek","Die Linke Wandsbek (@dielinke.wandsbek) • Instagram photos and videos",instagram.com,"792 Followers, 245 Following, 184 Posts - See Instagram photos and videos from Die Linke Wandsbek (@dielinke.wandsbek)","lower_bound: 8000, upper_bound: 8999","lower_bound: 0, upper_bound: 99",EUR,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.149833},{""age"":""45-54"",""gender"":""female"",""percentage"":0.058639},{""age"":""65+"",""gender"":""female"",""percentage"":0.017454},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000196},{""age"":""55-64"",""gender"":""male"",""percentage"":0.013336},{""age"":""55-64"",""gender"":""female"",""percentage"":0.031575},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000392},{""age"":""45-54"",""gender"":""male"",""percentage"":0.03079},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001765},{""age"":""18-24"",""gender"":""male"",""percentage"":0.088841},{""age"":""35-44"",""gender"":""male"",""percentage"":0.06668},{""age"":""35-44"",""gender"":""female"",""percentage"":0.130222},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001961},{""age"":""25-34"",""gender"":""male"",""percentage"":0.165327},{""age"":""25-34"",""gender"":""female"",""percentage"":0.231418},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002157},{""age"":""65+"",""gender"":""male"",""percentage"":0.009414}","{""region"":""Hamburg"",""percentage"":1}",instagram,"lower_bound: 10001, upper_bound: 50000",de
